지역,사업부,현장명,주소,lat,lon
경기,건축,수지자이에디시온(경기),경기도 용인시 수지구 풍덕천동 71-1번지,37.2405847,127.0992779
경기,건축,북오산자이리버블시티(경기),경기도 오산시 내삼미동 905번지 일원,37.1597051,127.0767008
충남,건축,아산동산리A3블록공동주택사업(충남),충청남도 아산시 탕정면 동산리 38-21번지 일원,36.8093757,127.0686422
대전,건축,도룡자이라피크(대전),대전광역시 유성구 도룡동 382,36.3820913,127.3842125
경기,건축,안양자이헤리티온(경기),경기도 안양시 만안구 안양8동 394-10번지 일원,37.3863,126.9324
충북,건축,청주센텀푸르지오자이(충북),충북 청주시 서원구 사운로 150,36.6440778,127.4789216
서울,건축,청담건영아파트리모델링사업(서울),"서울특별시 강남구 도산대로89길 49 
청담건영아파트정문",37.5261836,127.0514542
경기,건축,철산역자이(경기) ,경기도 광명시 철산동 466-7번지 일대,37.489194,126.8681396
경기,건축,철산역자이 2단지,경기도 광명시 철산동 472-267번지 일대,37.489194,126.8681396
서울,건축,라클라체자이드파인,서울특별시 동작구 노량진동 294-220번지,37.512613,126.942124
경남,건축,양산자이파크팰리체(경남),경남 양산시 평산동 47-2 일대,35.38574,129.13113
경남,건축,창원메가시티자이&위브(경남),경남 창원시 진해구 여좌동 843번지 일원,35.1319,128.7103
서울,건축,역삼센트럴자이,서울특별시 강남구 언주로70길 12,37.4972744,127.0470025
대구,건축,상인센트럴자이,대구광역시 달서구 상인동 797번지 일대,35.8171266,128.5437159
경기,건축,평촌자이퍼스니티 1단지,"경기 안양시 동안구 동안로 271, GATE#1",37.3902901,126.9515644
충남,건축,성성자이레이크파크,충남 천안시 서북구 공단로 78-65,36.8449757,127.1244527
경기,건축,평촌자이퍼스니티 2단지,경기도 안양시 동안구 비산동 354-10,37.3925519,126.9522677
충남,건축,아산탕정자이 퍼스트시티,충청남도 아산시 탕정면 동산리 67,36.8093757,127.0686422
충남,건축,아산탕정자이 센트럴시티,충청남도 아산시 탕정면 동산리 147-4,36.8093757,127.0686422
경기,건축,프레스티어자이(경기),경기도 과천시 별양상가1로 과천주차빌딩 1번게이트,37.4287219,127.0021206
경기,건축,위례A2-7블록아파트건설공사(경기),경기도 성남시 수정구 창곡동 514 위례A2-7BL 현장 1번 게이트,37.4503386,127.1462933
서울,건축,동작센트럴자이(서울),서울특별시 동작구 상도로 156(상도동),37.4965433,126.9534391
경기,건축,일산덕이동데이터센터(경기),경기도 고양시 일산서구 경의로 936 지에스건설,37.6798762,126.7636286
경기,건축,이천자이더레브,경기도 이천시 송정동 산 31 4번게이트,37.2808823,127.4429132
경기,건축,광명자이힐스테이트SKVIEW(경기),경기도 광명시 광명동 84-10 (광이로 42),37.4785475,126.8643937
경기,건축,영통자이센트럴파크(경기),경기도 수원시 영통구 영통동 961-11,37.265805,127.0368359
서울,건축,마포자이힐스테이트라첼스(서울),서울시 마포구 공덕동 105-84번지 일원,37.549927,126.9592897
인천,건축,인천검단AA13-1BL 공공주택사업(인천),인천광역시 서구 원당동 산80-1 (3게이트),37.5924107,126.6938209
인천,건축,인천검단AA13-2BL 공공주택사업(인천),인천광역시 서구 서로3로 191 옆 GS건설 3번게이트,37.5987812,126.707302
인천,건축,송도자이풍경채그라노블3단지(인천) ,"인천광역시 연수구 송도동 554, 2번 게이트 3단지",37.3851499,126.6457433
인천,건축,송도자이풍경채그라노블5단지(인천),"인천광역시 연수구 송도동 553-2, 1번게이트 5단지",37.3851499,126.6457433
전남,건축,순천그랜드파크자이(전남),전남 순천시 풍덕동 327-11,34.93472,127.50447
대전,건축,문화자이SKVIEW(대전),"대전광역시 중구 천근로 69번길 17-9
(2번게이트)",36.3097664,127.4063132
경기,건축,영통역자이프라시엘,경기도 용인시 서천동 335-2번지,37.2405847,127.0992779
경기,건축,여주역자이헤리티지(경기),경기도 여주시 교동 500-118번지 ,37.2741819,127.6278092
경북,건축,영주자이시그니처(경북),경삭북도 영주시 상망동 산 78-1,,
서울,건축,성동자이리버뷰(서울),서울특별시 성동구 용답동 108-1번지 (#3GATE),37.5613328,127.0580146
서울,건축,공릉아파트건설공사(서울),서울시 노원구 공릉동 240-8번지 1번게이트,37.6302152,127.0872902
인천,건축,검단아테라자이(인천),"인천광역시 서구 불로동 484-3, 3번게이트",37.545,126.676
대구,건축,달서자이 제니크(대구),대구광역시 달서구 본리동 660번지(#1GATE),35.8409108,128.5392702
경북,건축,포항자이애서턴(경북),경상북도 포항시 북구 학잠동 93-4번지 일원,36.0434851,129.3686129
경북,건축,포항자이디오션(경북),경상북도 포항시 북구 해안로25,36.0434851,129.3686129
경기,건축,인덕원퍼스비엘(경기),경기도 의왕시 내손동 711번지 일대  (6번 GATE 입구),37.3343694,126.9622804
강원,건축,원주자이센트로(강원),원주시 귀론길101-23,,
경기,건축,안양자이더포레스트(경기),경기도 안양시 만안구 석수동 348번지 일원 ,37.3863,126.9324
서울,건축,은평자이더스타(서울),서울특별시 은평구 신사동 19-100번지 3번 게이트,37.5957251,126.9085503
서울,건축,영등포자이디그니티(서울),서울특별시 영등포구 양평동1가 243-1번지 일대 5번 게이트,37.52309,126.88868
충북,건축,복대자이더스카이(충북),충북 청주시 흥덕구 복대동 100-28,36.6360473,127.4405923
대구,건축,범어자이(대구),대구광역시 수성구 범어동 48-26번지 일원,35.8570887,128.6326373
충남,건축,아산자이그랜드파크2블록(충남),충남 아산시 용화동 126-45번지,36.77173,127.00067
경기,건축,이천자이더리체(경기),경기도 이천시 증포동 323-20번지,37.2903901,127.4525105
